Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,1.448818835,0.73268067,1.287856166,0.871232615,0.468,0.19,0.135,0,0.196,0.884
2,1.232398225,0.878470931,1.200992837,0.887437763,0.507,0.269,0.259,0,0.289,0.89
3,1.179478843,0.895531562,1.166514919,0.900312162,0.54,0.281,0.343,0.049,0.452,0.778
4,1.155449246,0.906153041,1.154935067,0.902002445,0.555,0.323,0.332,0.105,0.527,0.657
5,1.142396666,0.912745863,1.137967921,0.91435291,0.584,0.336,0.361,0.089,0.524,0.703
6,1.131760555,0.91994571,1.142058037,0.908354311,0.579,0.345,0.39,0.093,0.565,0.671
7,1.129788171,0.919757054,1.163753931,0.883179479,0.505,0.341,0.352,0.134,0.566,0.616
8,1.123683442,0.924427024,1.132296063,0.91493793,0.579,0.32,0.387,0.134,0.557,0.641
9,1.12100714,0.926159314,1.130728454,0.915512175,0.59,0.363,0.387,0.158,0.574,0.632
10,1.115188306,0.931197678,1.126242627,0.919604787,0.621,0.372,0.404,0.154,0.605,0.634
11,1.113540503,0.932329851,1.124163284,0.921277446,0.612,0.32,0.408,0.156,0.607,0.633
12,1.112911809,0.932583977,1.126180632,0.918762818,0.6,0.381,0.388,0.138,0.605,0.631
13,1.112618427,0.932469906,1.122663424,0.922194538,0.614,0.359,0.396,0.168,0.597,0.634
14,1.10840589,0.936520294,1.122135142,0.922460653,0.615,0.373,0.405,0.14,0.623,0.633
15,1.106301871,0.938396998,1.122273552,0.922206926,0.605,0.383,0.392,0.153,0.617,0.634
16,1.103323537,0.941248869,1.120246618,0.9240556,0.619,0.368,0.413,0.154,0.625,0.623
17,1.10206393,0.942320835,1.120955718,0.923271403,0.619,0.387,0.403,0.151,0.635,0.623
18,1.100098853,0.944173901,1.120994092,0.923078538,0.618,0.384,0.408,0.162,0.627,0.634
19,1.099776558,0.944382772,1.119677649,0.924335544,0.629,0.377,0.426,0.143,0.633,0.635
20,1.096710871,0.947379225,1.126490869,0.917338605,0.595,0.362,0.416,0.144,0.534,0.631
21,1.096268827,0.947756275,1.119494381,0.924373803,0.622,0.375,0.416,0.157,0.619,0.634
22,1.092950461,0.951000343,1.121185993,0.922585632,0.615,0.377,0.414,0.155,0.618,0.623
23,1.096359276,0.94751526,1.121880853,0.921837324,0.603,0.383,0.41,0.159,0.605,0.632
24,1.095890827,0.947884565,1.120849745,0.92291035,0.622,0.365,0.417,0.145,0.62,0.634
25,1.091427572,0.952388577,1.120559146,0.923102542,0.632,0.373,0.406,0.159,0.602,0.633
