Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,1.4070369983896798,0.7660791426925821,1.2585126646729403,0.8651015585087223,0.457,0.004,0.290,0.001,0.009,0.874
2,1.2171152476911191,0.875281817665844,1.1949803940085477,0.8766012871466867,0.519,0.001,0.317,0.000,0.021,0.875
3,1.1762364624459067,0.886202788440434,1.1730911302012066,0.8846672669129718,0.534,0.002,0.364,0.000,0.023,0.878
4,1.1591913295380862,0.8931811550543285,1.1622673869132996,0.8877319683492578,0.527,0.001,0.348,0.000,0.022,0.880
5,1.1518150840276553,0.8958302682190472,1.1561539006787678,0.8900564391327465,0.559,0.002,0.376,0.000,0.013,0.885
6,1.1467341861607117,0.8984300930496808,1.1622263872346212,0.8829820732436225,0.542,0.002,0.321,0.010,0.014,0.879
7,1.1444963937924233,0.8992312045188502,1.1546645109043565,0.8887756314021887,0.547,0.003,0.381,0.000,0.014,0.882
8,1.140017209229646,0.9025305854604382,1.1529210390046585,0.8895048468013094,0.552,0.003,0.392,0.000,0.003,0.896
9,1.1380654382117001,0.9038084493822333,1.1489911342776098,0.892665607976528,0.563,0.005,0.391,0.010,0.005,0.888
10,1.1348681663289482,0.9063642773993758,1.1494353385858758,0.8913267361250632,0.587,0.005,0.407,0.010,0.007,0.882
11,1.1307377020517986,0.9098546598426714,1.1479330118312392,0.8925140010881389,0.582,0.009,0.403,0.000,0.026,0.871
12,1.1291839509834478,0.91079028082253,1.1498948751493943,0.8903862801130689,0.592,0.009,0.394,0.000,0.004,0.896
13,1.1257956977243777,0.9132902473527783,1.1480594707089802,0.8907233636927552,0.578,0.010,0.386,0.000,0.042,0.852
14,1.1238893108603396,0.9152296839314645,1.1414403208466464,0.905173913421743,0.582,0.006,0.394,0.027,0.415,0.831
15,1.1184951729244657,0.9265179233584171,1.1386824444282886,0.9067511912394236,0.578,0.111,0.385,0.060,0.435,0.791
16,1.1114708626711811,0.9350337065147787,1.133114946442981,0.9121105970484995,0.587,0.354,0.389,0.133,0.601,0.629
17,1.1073383578547724,0.9382141402016784,1.1297250584114429,0.9149187692029787,0.604,0.350,0.392,0.142,0.575,0.642
18,1.102501384270044,0.9425445927872025,1.129487999649935,0.9153468897901503,0.604,0.351,0.395,0.145,0.579,0.643
19,1.102486612620177,0.9421840770107872,1.1330628381219021,0.9110639797774069,0.569,0.335,0.361,0.139,0.578,0.641
20,1.0999677262188476,0.9445266473198931,1.1323394830836806,0.9118374411802271,0.593,0.361,0.384,0.132,0.581,0.652
21,1.0991797432487393,0.9451704480100677,1.128616454989411,0.9152810224971729,0.605,0.363,0.360,0.142,0.593,0.643
22,1.0955997271302305,0.948571366632185,1.128487807373668,0.9152426456897071,0.591,0.376,0.410,0.137,0.589,0.643
23,1.092446862179556,0.9516525990393522,1.124281739079675,0.9195376808900854,0.620,0.370,0.401,0.152,0.618,0.623
24,1.0889571485696015,0.9550552265044229,1.1358384711797846,0.907662228395797,0.577,0.346,0.401,0.131,0.572,0.628
25,1.093185755941603,0.9507218747784397,1.1243216894393744,0.9192868414212464,0.619,0.362,0.414,0.148,0.608,0.634
