Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,0.04805293012364411,0.5451629750630551,0.044386485331626827,0.7605809163381562,0.329,0.046,0.001,0.002,0.000,0.792
2,0.042896169111316586,0.8052502691250875,0.041453487781244656,0.8604116839227389,0.463,0.160,0.011,0.011,0.043,0.837
3,0.04111225440822266,0.8655088328560201,0.04067397299547528,0.8795004738857429,0.563,0.170,0.031,0.010,0.055,0.839
4,0.040382770706474044,0.8844626795534324,0.040479438985849533,0.8801805046356224,0.536,0.046,0.277,0.010,0.000,0.888
5,0.03993367153093403,0.8972808077750138,0.040011909075601156,0.8950787221220466,0.562,0.089,0.347,0.001,0.223,0.908
6,0.03956007430858818,0.9141415575568477,0.039558499921546426,0.9123631855041818,0.590,0.313,0.344,0.031,0.389,0.870
7,0.039309276152908065,0.921240650979127,0.03936611822004928,0.9168570390262646,0.588,0.359,0.387,0.076,0.505,0.773
8,0.03911915085749862,0.9268381575816247,0.03951328724276188,0.9111639074680123,0.593,0.349,0.375,0.135,0.539,0.675
9,0.03916518592540129,0.9241828071401257,0.03972606642474962,0.9027954538809211,0.558,0.361,0.391,0.120,0.548,0.648
10,0.038898372953688656,0.9332537226613412,0.03925986956198548,0.9195596945802575,0.596,0.378,0.396,0.149,0.591,0.642
11,0.03871740890597856,0.9396157656012412,0.03921815623031106,0.9204771615055709,0.610,0.362,0.419,0.144,0.610,0.644
12,0.03866384833775185,0.9413215090671915,0.03934798103778861,0.9153229813642313,0.592,0.378,0.391,0.123,0.557,0.630
13,0.03866055092693847,0.9412701907455289,0.039191118333228796,0.9211775130160498,0.605,0.378,0.414,0.148,0.601,0.644
14,0.0385634939611694,0.9447212580157698,0.03919206291090611,0.9209761104541697,0.610,0.363,0.400,0.146,0.620,0.634
15,0.03844514424786156,0.9489550696397109,0.03912230121881463,0.9234540940732486,0.616,0.394,0.389,0.145,0.622,0.635
16,0.03840999072992507,0.9502896435773149,0.039174965734398645,0.9214361332340507,0.598,0.388,0.418,0.153,0.619,0.634
17,0.03839536776973142,0.9506554390892004,0.03912118038292541,0.9234874705721752,0.619,0.370,0.413,0.153,0.621,0.635
18,0.03832689787686607,0.9531992698502969,0.03921866902085238,0.9194145903352602,0.597,0.378,0.398,0.145,0.620,0.632
19,0.03829717164698206,0.954125822177378,0.039187811964819595,0.9206591065888191,0.611,0.332,0.388,0.147,0.601,0.633
20,0.03820348639087177,0.9575344718407194,0.039144063758295634,0.9222981595187218,0.621,0.356,0.407,0.145,0.600,0.636
21,0.03822601016288922,0.9565994136005231,0.039177018196083775,0.921378383033859,0.607,0.381,0.409,0.149,0.620,0.643
22,0.0381131729134071,0.9608422349516226,0.03995131735884866,0.8930868671537759,0.527,0.357,0.374,0.133,0.581,0.624
23,0.03825644435889927,0.9555126454614262,0.03924507937978867,0.9185123709875551,0.591,0.360,0.373,0.155,0.595,0.622
24,0.03821924045957901,0.9567931904988898,0.039181233665277794,0.9211057877382928,0.611,0.360,0.409,0.149,0.625,0.633
25,0.03808793374969636,0.9616672054039601,0.03928255220485288,0.9172432175635591,0.607,0.347,0.399,0.145,0.612,0.635
