Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,0.04840908647037861,0.6300972239418866,0.04403147325817361,0.7984992452414639,0.417,0.063,0.249,0.001,0.016,0.832
2,0.04288653352456849,0.828413139466903,0.04113347437905978,0.8944340384150126,0.512,0.050,0.335,0.000,0.153,0.911
3,0.04055395845051219,0.8938511909361222,0.04004576021289251,0.902928409806217,0.545,0.019,0.364,0.048,0.441,0.739
4,0.03993290308408621,0.901718706943741,0.03988672061318375,0.8994972504765154,0.542,0.048,0.374,0.093,0.544,0.605
5,0.03955406779650508,0.9136844107716054,0.039496303188154495,0.9143481369478157,0.578,0.336,0.380,0.122,0.589,0.564
6,0.03933551103421828,0.920099892266258,0.039439503417675756,0.9149918556213379,0.564,0.321,0.401,0.146,0.614,0.564
7,0.039223783899371215,0.9227144341336988,0.039273647165083025,0.9194864192640925,0.588,0.388,0.420,0.143,0.624,0.568
8,0.039088656898678804,0.926880621750998,0.039278205125087715,0.9185563282794263,0.588,0.343,0.416,0.155,0.590,0.567
9,0.03900073071169417,0.9295830914812843,0.03938096869422729,0.914341984024967,0.529,0.389,0.406,0.144,0.634,0.562
10,0.03886131401650789,0.9344456966316507,0.039092383605529024,0.9249565687524267,0.594,0.391,0.430,0.152,0.657,0.570
11,0.03880467404406972,0.9361255743937679,0.039200281836541305,0.9207231969718473,0.577,0.407,0.404,0.164,0.644,0.565
12,0.03872029251623445,0.9390540807558538,0.039072593247675036,0.9251972738518772,0.606,0.403,0.411,0.168,0.661,0.558
13,0.038661316786779136,0.9410943801341679,0.039092062198254,0.924098152712167,0.598,0.408,0.428,0.159,0.643,0.570
14,0.03859915070962615,0.9432112032851228,0.03914865411548729,0.9221294069864664,0.596,0.383,0.385,0.143,0.632,0.570
15,0.03859822386194293,0.9431855208085081,0.03912997883127396,0.9225812992417669,0.591,0.410,0.409,0.164,0.654,0.569
16,0.03868214349921157,0.9400262765366197,0.03905910612588905,0.9251326595444277,0.607,0.394,0.432,0.170,0.657,0.570
17,0.03848483531576831,0.9471874895268559,0.03905442410922912,0.925353871770652,0.609,0.391,0.437,0.181,0.650,0.571
18,0.03836436871802661,0.9516406325639374,0.03903868040406561,0.9259955509599432,0.612,0.416,0.429,0.167,0.665,0.570
19,0.03830642907357797,0.9537908504984286,0.03906495335051812,0.9251587821776608,0.609,0.399,0.417,0.182,0.627,0.570
20,0.038276447323945965,0.9547399966346297,0.03906540110348219,0.9250221884394266,0.611,0.383,0.428,0.176,0.635,0.571
21,0.038232853022835606,0.9564306297338612,0.03910391818148544,0.9236000015074948,0.601,0.383,0.422,0.159,0.657,0.570
22,0.03846270815900913,0.9478694715763525,0.03927452543593315,0.9172914056892855,0.569,0.403,0.415,0.151,0.643,0.563
23,0.03863975719162604,0.941108239594815,0.03913163312946458,0.9223902943622635,0.603,0.389,0.429,0.163,0.660,0.569
24,0.038249228626671364,0.955529831703557,0.039089683802372,0.9240014294543898,0.609,0.405,0.429,0.180,0.653,0.569
25,0.038179717549100156,0.9582078379148296,0.039204249091177104,0.9200271985617029,0.587,0.360,0.424,0.177,0.610,0.568
