Epoch,Train_acc_ce,Valid_acc_ce,Train_acc_focal,Valid_acc_focal
1,0.75182216,0.854686485,0.667561025,0.809377379
2,0.868902397,0.873706573,0.840950449,0.864207982
3,0.882542715,0.883649001,0.877521462,0.886685865
4,0.891913336,0.893315486,0.893029249,0.893552097
5,0.897639262,0.894832702,0.903466196,0.901031065
6,0.902136774,0.895351159,0.912973393,0.908572902
7,0.90406886,0.897828586,0.919141384,0.915744547
8,0.907449768,0.896970979,0.926261203,0.915300987
9,0.909005192,0.898858428,0.927691383,0.910739449
10,0.913248566,0.903703179,0.932047976,0.915329831
11,0.918153264,0.904099468,0.935085223,0.916781949
12,0.918102842,0.903053598,0.938891956,0.914734556
13,0.920975604,0.901595588,0.938555204,0.914451475
14,0.9214617,0.906329545,0.940833324,0.913549284
15,0.926598573,0.91024369,0.943425094,0.922159121
16,0.931280407,0.911459161,0.947365676,0.921089947
17,0.935063622,0.911031615,0.949588626,0.922987315
18,0.936552763,0.911951068,0.951907159,0.919808988
19,0.937710075,0.912774392,0.95313611,0.920105161
20,0.942639756,0.914311104,0.955364163,0.92361409
21,0.942297008,0.915789161,0.956527052,0.918484704
22,0.946779242,0.918042567,0.956841481,0.912844674
23,0.949031103,0.909261994,0.95503988,0.92083507
24,0.950894935,0.910604217,0.956819371,0.919590174
25,0.948125241,0.918668166,0.960335973,0.920868011
