Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,0.046938406,0.712397194,0.042803548,0.872454495,0.491,0.188,0.195,0.001,0.178,0.884
2,0.041666067,0.886939812,0.040874473,0.894569066,0.547,0.25,0.351,0,0.348,0.9
3,0.040367036,0.90322226,0.040039811,0.907223384,0.573,0.313,0.366,0.007,0.355,0.908
4,0.03981966,0.911180698,0.03967661,0.912577935,0.575,0.328,0.383,0.035,0.442,0.846
5,0.039466009,0.919180169,0.039519495,0.915408239,0.605,0.351,0.373,0.097,0.565,0.698
6,0.039308062,0.922262457,0.039578331,0.910770974,0.574,0.338,0.379,0.136,0.562,0.649
7,0.03920199,0.924232328,0.039308471,0.919476197,0.611,0.345,0.409,0.11,0.585,0.687
8,0.038998971,0.930907581,0.039443311,0.91373961,0.602,0.359,0.375,0.12,0.547,0.687
9,0.039014272,0.929566688,0.039491714,0.910990909,0.585,0.343,0.39,0.129,0.607,0.641
10,0.038900774,0.933281459,0.039409487,0.913767801,0.59,0.368,0.399,0.127,0.575,0.64
11,0.038788813,0.937017225,0.039163514,0.922785617,0.622,0.383,0.402,0.145,0.637,0.633
12,0.038768596,0.93746991,0.039147798,0.922961351,0.623,0.369,0.406,0.141,0.612,0.656
13,0.03866767,0.941051659,0.039195387,0.920973767,0.615,0.375,0.423,0.146,0.639,0.632
14,0.038585979,0.943890734,0.039162123,0.922000809,0.618,0.364,0.408,0.162,0.594,0.635
15,0.038607597,0.942889042,0.039127798,0.923271319,0.612,0.374,0.408,0.143,0.61,0.654
16,0.038494439,0.947018591,0.039079331,0.925091325,0.624,0.38,0.412,0.147,0.637,0.646
17,0.038606266,0.942793583,0.039251159,0.918759853,0.614,0.374,0.417,0.146,0.626,0.635
18,0.038475107,0.94758509,0.039125659,0.923235,0.615,0.383,0.408,0.171,0.599,0.635
19,0.038354777,0.952012941,0.039151391,0.922293221,0.604,0.381,0.392,0.148,0.608,0.632
20,0.038368154,0.951340446,0.039100453,0.924009005,0.622,0.379,0.407,0.148,0.621,0.635
21,0.038269054,0.955037325,0.039093053,0.924362878,0.627,0.376,0.423,0.163,0.632,0.624
22,0.038218403,0.956925293,0.03909673,0.924312168,0.624,0.376,0.403,0.148,0.629,0.635
23,0.038155063,0.959262392,0.039073641,0.925364033,0.624,0.37,0.42,0.146,0.632,0.635
24,0.038114648,0.960687231,0.039078296,0.924947936,0.627,0.386,0.406,0.15,0.638,0.636
25,0.038256817,0.955388866,0.039109149,0.924015457,0.611,0.39,0.415,0.155,0.634,0.634
