Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,1.5392190316725058,0.6470134390380223,1.3570424499391,0.8031622924078943,0.403,0.147,0.216,0.000,0.160,0.816
2,1.2923251200004442,0.8404349415397148,1.2284753684756122,0.8804259963608242,0.499,0.015,0.336,0.018,0.280,0.854
3,1.2040580687438243,0.887453401962059,1.1787066595463813,0.8942019250531826,0.529,0.015,0.358,0.110,0.528,0.637
4,1.1668584939290787,0.8999026813840458,1.157055970988696,0.9025196766409191,0.549,0.003,0.367,0.125,0.565,0.645
5,1.1492192244388648,0.9072335393245268,1.1498173731791823,0.9028095452501053,0.548,0.002,0.382,0.132,0.566,0.644
6,1.1393561998062585,0.9121119540701483,1.1439352473126183,0.9051227970251808,0.553,0.000,0.356,0.129,0.579,0.647
7,1.1336088963514248,0.9145775649927947,1.1417656020273137,0.9047473570301662,0.555,0.001,0.378,0.153,0.565,0.646
8,1.12913047420908,0.9181081304411854,1.1392653984359549,0.9073288562606829,0.541,0.073,0.376,0.136,0.604,0.636
9,1.1218011915331056,0.9266379439019501,1.1294975386390202,0.9177254742211498,0.567,0.323,0.392,0.154,0.594,0.642
10,1.1208664997089544,0.9291036285933796,1.1295056795772118,0.9165119680676062,0.550,0.343,0.423,0.151,0.596,0.639
11,1.1186862168227427,0.9280988892554882,1.128197855587247,0.9173861218972948,0.570,0.365,0.425,0.149,0.611,0.640
12,1.1124577578708266,0.9335835642334075,1.1265693073031269,0.9182015750505506,0.576,0.348,0.418,0.148,0.607,0.640
13,1.1095608437555076,0.935991391500783,1.1324861879590191,0.9118499997774382,0.553,0.390,0.429,0.148,0.604,0.649
14,1.1074095202620917,0.9380118276781201,1.1225600921655003,0.921846369358929,0.590,0.368,0.410,0.155,0.604,0.654
15,1.1046337361871843,0.9405181731553537,1.1273536063447784,0.9167054940252799,0.572,0.388,0.427,0.154,0.626,0.651
16,1.1048614111172377,0.9401984961336987,1.1304114921183526,0.9133588599629502,0.550,0.386,0.388,0.140,0.603,0.650
17,1.10954955273126,0.9350157057143977,1.1192698720135266,0.9245575350331636,0.604,0.406,0.424,0.152,0.632,0.657
18,1.10399495920486,0.940280430553659,1.121157394179815,0.9226613386821709,0.596,0.408,0.420,0.155,0.633,0.657
19,1.101227073979801,0.9432675981220148,1.1193195385268973,0.9244004898585358,0.601,0.393,0.421,0.156,0.635,0.658
20,1.1003679100578354,0.9444705059467172,1.1196989816955374,0.9239013042895982,0.599,0.375,0.431,0.151,0.645,0.645
21,1.100061984457208,0.9438375924856257,1.1212973051433321,0.9222123988601739,0.591,0.388,0.436,0.156,0.638,0.654
22,1.098307608852725,0.9459155512902319,1.119485716276531,0.923985877776023,0.591,0.396,0.431,0.150,0.615,0.658
23,1.0997394831222895,0.9468015257245592,1.1240731206121324,0.9193488206836944,0.546,0.381,0.402,0.152,0.619,0.654
24,1.0977481272093643,0.9464269562164794,1.1205804091465623,0.9228459682154646,0.590,0.420,0.421,0.177,0.603,0.656
25,1.096392609663969,0.9478275388445984,1.1182771785349785,0.9251020917616521,0.601,0.412,0.439,0.172,0.639,0.645
