Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,0.0462264252009984,0.7212205759675355,0.04265264826812439,0.8454290981154776,0.4406666666666666,0.09200000000000001,0.17933333333333334,0.0006666666666666666,0.065,0.8706666666666667
2,0.04170543614744029,0.8645359552236193,0.04075520038094563,0.8906351787729471,0.5163333333333334,0.10866666666666668,0.33499999999999996,0.0036666666666666666,0.16733333333333333,0.898
3,0.04034086277627692,0.8951250996275754,0.0400309578460843,0.8994412605612531,0.543,0.11933333333333335,0.3593333333333333,0.022000000000000002,0.26566666666666666,0.8446666666666666
4,0.0398504243427471,0.9024708094599294,0.03980783298907574,0.9008662562192442,0.5539999999999999,0.13033333333333333,0.371,0.04633333333333334,0.333,0.7786666666666667
5,0.03955724072568193,0.9103694420209126,0.03958100663033493,0.9077215017629129,0.5796666666666667,0.24000000000000002,0.38133333333333336,0.077,0.38866666666666666,0.7126666666666667
6,0.0394096203510294,0.9138826884775569,0.03959891650730268,0.9053229281487744,0.5559999999999999,0.232,0.37833333333333335,0.09400000000000001,0.3960000000000001,0.6993333333333333
7,0.03931975519003463,0.9156598203326651,0.03943226841878202,0.9101686902598088,0.5803333333333333,0.25266666666666665,0.409,0.08433333333333333,0.4336666666666667,0.6863333333333334
8,0.03915310204688091,0.9209747230954637,0.039421446231062474,0.9100460546899112,0.5886666666666667,0.24266666666666667,0.40033333333333326,0.09166666666666667,0.43333333333333335,0.6646666666666666
9,0.039082532905751755,0.9230006789459417,0.03949225277482723,0.9077268842070193,0.5583333333333332,0.2813333333333333,0.40166666666666667,0.09133333333333334,0.49300000000000005,0.626
10,0.038968816686147996,0.930786026921003,0.03931487821946362,0.9169565221056929,0.5743333333333333,0.36733333333333335,0.4083333333333334,0.13266666666666668,0.589,0.62
11,0.038918644983861744,0.9327907189182101,0.03926964161190674,0.9185016011360321,0.5823333333333333,0.38566666666666666,0.397,0.14866666666666667,0.6163333333333334,0.615
12,0.03879743678477115,0.9364235266834973,0.03914932296831234,0.9223668118773839,0.6016666666666667,0.38400000000000006,0.4066666666666667,0.148,0.6196666666666667,0.623
13,0.038702650861182485,0.939657175251306,0.03916674261109804,0.9215514102375604,0.5973333333333334,0.39033333333333325,0.4106666666666667,0.14966666666666664,0.629,0.619
14,0.03863714389821766,0.9418490767776208,0.0392079243933492,0.9199429996180023,0.5966666666666667,0.38199999999999995,0.40499999999999997,0.15066666666666664,0.6143333333333333,0.6190000000000001
15,0.038654320274034516,0.94162218309203,0.03915710265831812,0.9217838168070874,0.596,0.38766666666666666,0.4036666666666666,0.15,0.6086666666666667,0.6253333333333333
16,0.038620123787045546,0.9423243270731178,0.03910705650092009,0.9235979570752108,0.6053333333333333,0.36766666666666664,0.4163333333333334,0.15933333333333333,0.628,0.6236666666666667
17,0.0385815493134678,0.9444896187600609,0.03912685110210105,0.9228918714246469,0.605,0.38999999999999996,0.42366666666666664,0.16033333333333333,0.621,0.6213333333333333
18,0.038444965988424264,0.9486593075026456,0.039090540970218406,0.9241848517749548,0.605,0.4036666666666666,0.41333333333333333,0.167,0.624,0.621
19,0.03841141196829811,0.9498987871961019,0.039103053540500095,0.9236970218506216,0.6043333333333334,0.3946666666666667,0.408,0.16666666666666666,0.6123333333333333,0.62
20,0.03836086665421641,0.951579446641868,0.03908910500949695,0.9241561904241161,0.6083333333333334,0.39033333333333337,0.4223333333333333,0.15933333333333333,0.629,0.621
21,0.03828761870718226,0.9543305992072324,0.0391100918211884,0.9234471660563116,0.6063333333333333,0.38366666666666666,0.4226666666666667,0.15966666666666665,0.6323333333333334,0.6166666666666667
22,0.038342745881739616,0.9522673740386315,0.03913342026166427,0.9226097062477164,0.5986666666666667,0.39566666666666667,0.41333333333333333,0.151,0.6306666666666666,0.619
23,0.038361067789557425,0.9514451885988974,0.0390904334586959,0.924187445048578,0.609,0.38866666666666666,0.4263333333333333,0.15533333333333332,0.642,0.6206666666666667
24,0.03820614927818435,0.957217801079957,0.03912202414903323,0.9230322330643265,0.6056666666666667,0.3913333333333333,0.4206666666666667,0.16433333333333333,0.632,0.62
25,0.03823811427978722,0.9561062348132636,0.039130814255190195,0.9228251913756395,0.599,0.385,0.4166666666666667,0.1703333333333333,0.6173333333333333,0.62
