Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,0.046660822593115575,0.6675610247011079,0.043366250853474585,0.8093773793539243,0.39966666666666667,0.13933333333333334,0.07933333333333333,0.0013333333333333333,0.012666666666666666,0.8366666666666666
2,0.042146282635159675,0.8409504487082007,0.04128193456485891,0.8642079818389711,0.4693333333333333,0.19899999999999998,0.11366666666666668,0.004,0.09133333333333334,0.8079999999999999
3,0.04077443192952478,0.8775214619767251,0.04043216614761896,0.8866858654150742,0.5336666666666666,0.25266666666666665,0.16833333333333333,0.0033333333333333335,0.18633333333333332,0.8140000000000001
4,0.04017213434410908,0.8930292493747846,0.040101530647827226,0.8935520968898256,0.545,0.23866666666666667,0.299,0.007333333333333333,0.20133333333333334,0.8153333333333332
5,0.03979423644455028,0.9034661964309634,0.03980143398283994,0.901031064666749,0.5473333333333333,0.2703333333333333,0.36933333333333335,0.009,0.288,0.8163333333333332
6,0.039501509044294565,0.9129733929581239,0.03956692518104164,0.908572901754491,0.565,0.3463333333333333,0.3793333333333333,0.026333333333333334,0.36233333333333334,0.7923333333333334
7,0.03934418122935543,0.9191413840056395,0.039403367587955804,0.9157445465658983,0.5746666666666667,0.38133333333333336,0.39066666666666666,0.10233333333333333,0.545,0.6966666666666668
8,0.039125228494929346,0.9262612027828782,0.03937080248984673,0.915300987366459,0.5869999999999999,0.3633333333333333,0.383,0.1446666666666667,0.593,0.6306666666666667
9,0.039061540870795726,0.9276913833349701,0.03949226578512862,0.9107394488261696,0.564,0.38133333333333336,0.40499999999999997,0.136,0.5936666666666667,0.6206666666666666
10,0.038928747041448546,0.9320479762920749,0.039356580554292836,0.9153298313456277,0.5696666666666667,0.3753333333333333,0.405,0.145,0.6023333333333333,0.6183333333333333
11,0.038830629970640164,0.9350852234131862,0.03929879472515552,0.9167819488744039,0.5786666666666666,0.35566666666666663,0.399,0.14033333333333334,0.6023333333333333,0.6206666666666666
12,0.03872550395410923,0.9388919564199468,0.039355179992691704,0.9147345558371333,0.5776666666666667,0.38466666666666666,0.40199999999999997,0.14033333333333334,0.6016666666666667,0.6150000000000001
13,0.038730989839103426,0.9385552040470871,0.039368483553408044,0.9144514745546006,0.5619999999999999,0.3833333333333333,0.39666666666666667,0.14033333333333334,0.606,0.6186666666666666
14,0.03866323867443888,0.9408333240321243,0.039376550612019744,0.9135492840536318,0.5703333333333332,0.3833333333333333,0.4066666666666667,0.15466666666666665,0.6186666666666667,0.613
15,0.038598166027898874,0.9434250942188639,0.03915182285755007,0.9221591214153798,0.5963333333333334,0.39333333333333337,0.39633333333333337,0.15333333333333332,0.6253333333333334,0.619
16,0.03850920790667933,0.9473656760556883,0.039176456224692895,0.9210899467193955,0.5816666666666667,0.4000000000000001,0.41,0.15166666666666664,0.6193333333333334,0.6186666666666667
17,0.038422935724953845,0.9495886258806524,0.039126384018326486,0.9229873145389916,0.604,0.3833333333333333,0.416,0.156,0.6323333333333334,0.6196666666666667
18,0.038360432689161755,0.9519071587894524,0.039206954974249704,0.9198089882347648,0.591,0.391,0.40499999999999997,0.14833333333333332,0.6183333333333333,0.6183333333333333
19,0.03832471963219631,0.9531361100150132,0.03920337078655351,0.9201051611907367,0.5926666666666667,0.37366666666666665,0.40833333333333327,0.15933333333333333,0.602,0.618
20,0.03826253531335112,0.9553641632337021,0.0391026890608023,0.9236140898501525,0.609,0.385,0.414,0.15433333333333332,0.624,0.6136666666666667
21,0.03823910000171474,0.9565270520918087,0.0392516335826563,0.9184847036171161,0.5810000000000001,0.391,0.413,0.14966666666666667,0.6143333333333333,0.6206666666666667
22,0.03822252619667967,0.9568414813037737,0.03940759326008633,0.9128446738895386,0.5693333333333334,0.375,0.4056666666666667,0.1476666666666667,0.6073333333333334,0.617
23,0.03827141535112214,0.9550398804157259,0.03917576497810327,0.9208350699122784,0.5913333333333334,0.379,0.3873333333333333,0.15666666666666665,0.6283333333333333,0.612
24,0.038218246381591416,0.9568193713309306,0.039214025282168725,0.9195901743985399,0.5813333333333333,0.37866666666666665,0.40499999999999997,0.15033333333333332,0.632,0.6183333333333333
25,0.03812372660684262,0.9603359732258151,0.03917620251681648,0.9208680110909238,0.602,0.38033333333333336,0.411,0.15366666666666665,0.6266666666666666,0.6203333333333334
