Epoch,Train_loss_ce,Train_loss_focal,Valid_loss_ce,Valid_loss_focal
1,1.517870753,0.046226425,1.334494125,0.042652648
2,1.267721462,0.041705436,1.2167635,0.0407552
3,1.192306972,0.040340863,1.172316499,0.040030958
4,1.162031996,0.039850424,1.154639665,0.039807833
5,1.146161168,0.039557241,1.143377799,0.039581007
6,1.13515605,0.03940962,1.14241101,0.039598917
7,1.131611234,0.039319755,1.145051656,0.039432268
8,1.125564497,0.039153102,1.134313508,0.039421446
9,1.121740603,0.039082533,1.128394721,0.039492253
10,1.119232763,0.038968817,1.12744824,0.039314878
11,1.11461118,0.038918645,1.124859367,0.039269642
12,1.111194068,0.038797437,1.124755737,0.039149323
13,1.109310182,0.038702651,1.125338368,0.039166743
14,1.106827959,0.038637144,1.121338198,0.039207924
15,1.103993236,0.03865432,1.123033635,0.039157103
16,1.102292513,0.038620124,1.123321926,0.039107057
17,1.104524554,0.038581549,1.119860563,0.039126851
18,1.101039451,0.038444966,1.121999182,0.039090541
19,1.099842998,0.038411412,1.120177888,0.039103054
20,1.097707148,0.038360867,1.121325161,0.039089105
21,1.096204201,0.038287619,1.11964929,0.039110092
22,1.093814971,0.038342746,1.119436418,0.03913342
23,1.094898607,0.038361068,1.121520625,0.039090433
24,1.093754207,0.038206149,1.12010281,0.039122024
25,1.091526196,0.038238114,1.11996773,0.039130814
