Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,1.4766835214118281,0.7372370528749216,1.2991236961340602,0.8593609810253481,0.457,0.164,0.025,0.000,0.027,0.895
2,1.2345677035800098,0.872682635958818,1.2011918855618826,0.8769671439746519,0.502,0.189,0.007,0.000,0.066,0.899
3,1.188204962120959,0.8828664448412877,1.1869283476962318,0.8807394577310618,0.485,0.211,0.072,0.069,0.394,0.671
4,1.1728542542316505,0.8934760329536277,1.1670120124575458,0.8986477906676544,0.515,0.263,0.266,0.090,0.461,0.643
5,1.1574666549468182,0.9057931470888705,1.1557609914224358,0.9023229997402801,0.518,0.284,0.337,0.100,0.448,0.647
6,1.1454012767803035,0.9111977659135381,1.1465234198147738,0.9074187579251356,0.538,0.341,0.351,0.144,0.516,0.648
7,1.136675274583715,0.9165312347468855,1.1425778066055685,0.9073564648108495,0.527,0.367,0.342,0.124,0.558,0.648
8,1.1315129381665112,0.9190219951500543,1.1441905317427237,0.9041994921139579,0.533,0.329,0.394,0.113,0.502,0.645
9,1.1265240681947335,0.9222463066580572,1.1413240432739258,0.9060851409706482,0.525,0.374,0.395,0.136,0.587,0.646
10,1.1222383975982666,0.9254772431702364,1.1344669800770433,0.9121288310144329,0.554,0.319,0.416,0.152,0.524,0.652
11,1.117326922670624,0.9296697302350505,1.1327444616752336,0.9131077824251264,0.561,0.375,0.395,0.148,0.578,0.649
12,1.1193157575539583,0.9273824553455993,1.130816192566594,0.914675325143446,0.571,0.398,0.361,0.140,0.594,0.651
13,1.1154276725103165,0.9305916215549751,1.1308132394959656,0.9143059330236047,0.563,0.389,0.397,0.145,0.605,0.650
14,1.1169974994377272,0.9292902664519367,1.132790731478341,0.9118126964833686,0.561,0.348,0.401,0.145,0.592,0.647
15,1.112881069352641,0.932404591541567,1.128470718106137,0.9159675443923714,0.570,0.384,0.407,0.159,0.588,0.651
16,1.1100070060357539,0.9354558840432811,1.131449212001849,0.9128136379681926,0.559,0.397,0.375,0.143,0.603,0.651
17,1.106614632013987,0.938580826163159,1.1283872353879711,0.915709681138603,0.564,0.382,0.376,0.165,0.596,0.640
18,1.1045909372307139,0.9400905525431663,1.1352309939227527,0.9086983854979501,0.532,0.360,0.386,0.157,0.559,0.645
19,1.1046345248024845,0.9408398476086748,1.1275709414783912,0.9163312515095496,0.561,0.373,0.394,0.136,0.578,0.640
20,1.098445747731,0.9459822042230427,1.1246397329282156,0.9191619776280873,0.577,0.384,0.397,0.157,0.608,0.654
21,1.101102699894877,0.9430461158624764,1.1314945930167088,0.9121953032104637,0.560,0.393,0.412,0.169,0.620,0.638
22,1.1007731941324719,0.9436190978618039,1.1274362711966792,0.9162341710172661,0.573,0.392,0.411,0.164,0.603,0.639
23,1.0998327753247594,0.9441918386939557,1.1553141693525677,0.8881706089620027,0.504,0.392,0.416,0.150,0.595,0.625
24,1.0982483456120689,0.9464219229156619,1.1344027730483044,0.9090946604229371,0.549,0.395,0.407,0.148,0.607,0.635
25,1.0989197795913064,0.9449249471860909,1.127156532263454,0.916285541668989,0.571,0.389,0.383,0.161,0.622,0.640
