Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,0.04588375231747091,0.7798203581458532,0.04256148513736604,0.8583902365812649,0.459,0.197,0.072,0.000,0.016,0.877
2,0.041359295903225624,0.8749745951659975,0.04086012218760539,0.8759182730790788,0.497,0.233,0.018,0.000,0.187,0.707
3,0.04045177345886033,0.8808548949650559,0.040326489819378794,0.880981584413629,0.519,0.314,0.100,0.000,0.199,0.690
4,0.04011857879937753,0.8897697218912337,0.040078026018565215,0.889979982017006,0.532,0.339,0.228,0.012,0.255,0.639
5,0.03989075170554353,0.8972791002868675,0.03993433364961721,0.8920606748480386,0.514,0.354,0.361,0.012,0.255,0.637
6,0.039625019893138366,0.9036213458803517,0.03971456844784037,0.8985267424460588,0.536,0.351,0.374,0.020,0.274,0.640
7,0.03950541104967072,0.9128724875260392,0.039602133763741845,0.9096616305768183,0.548,0.384,0.377,0.119,0.555,0.648
8,0.03924963067798219,0.9220248243985188,0.03943619353673126,0.9121057341791456,0.566,0.379,0.348,0.138,0.594,0.647
9,0.03909634613602824,0.9265436759089041,0.039478579088102414,0.9107044052142167,0.554,0.380,0.406,0.133,0.577,0.647
10,0.039044123054785135,0.9279821813660689,0.03950770873623558,0.9096985165675009,0.539,0.378,0.405,0.138,0.578,0.647
11,0.038981654543495746,0.9290731025034719,0.0393632796086088,0.9143432544612998,0.566,0.344,0.383,0.142,0.578,0.651
12,0.03881052109969438,0.9356680884597114,0.03932441290043577,0.9158622871728535,0.579,0.382,0.416,0.148,0.611,0.652
13,0.03886699839632892,0.9335942805677863,0.03950052708387375,0.9099888690067008,0.545,0.375,0.400,0.134,0.578,0.650
14,0.03878991678357124,0.935912058849058,0.03975669138982326,0.8989661991997838,0.529,0.385,0.401,0.150,0.607,0.637
15,0.03872888744670964,0.9389478911161866,0.039235076289388195,0.9190627682837427,0.572,0.404,0.383,0.154,0.599,0.653
16,0.038681836214643966,0.9427366870271534,0.039194428609519064,0.9204515841949378,0.577,0.400,0.411,0.146,0.586,0.655
17,0.038554767664720324,0.9447997700729172,0.03920721621075763,0.9198961775783882,0.585,0.401,0.415,0.148,0.612,0.653
18,0.038502745264204295,0.9467038047850109,0.03926509925270382,0.9177397955895604,0.579,0.399,0.404,0.142,0.576,0.653
19,0.038460345508960575,0.9481649969802465,0.039318722920327245,0.9159596579631453,0.565,0.407,0.416,0.161,0.588,0.650
20,0.03838445784072199,0.950901855718429,0.03907989418204827,0.924180697978984,0.601,0.408,0.414,0.153,0.603,0.646
21,0.03836727508250073,0.9525507355587507,0.03948405380301838,0.9099381757169974,0.538,0.393,0.404,0.136,0.574,0.648
22,0.03844665017353713,0.9486918195821663,0.03918453834102124,0.9211394634692857,0.584,0.383,0.427,0.154,0.608,0.656
23,0.038451302091221835,0.9486473625412923,0.03914424871342092,0.9214989673132183,0.594,0.386,0.391,0.159,0.625,0.643
24,0.03833582413178929,0.9524682393611342,0.03924612120925626,0.918507149991562,0.566,0.414,0.398,0.152,0.629,0.654
25,0.03821184199589949,0.9571991023542092,0.03913014698066289,0.9220609056349552,0.594,0.400,0.418,0.154,0.612,0.656
